Spine color,Height,Pages,Genre/sub,Feeling,Author (multiple only)
White,7,216,Mystery,Reminiscence,Sayers
White,7,176,Mystery,Read again,Simenon 
Gold,8,217,Mystery ,Read again,Hammett
Black,8,276,Mystery ,Read again,MacDonald
Black,8,246,Mystery ,Read again,MacDonald
Blue 2,8,238,Mystery ,Maybe I'd like it now,Dorothy Sayers 
Orange 1,8,254,Mystery ,Maybe I'd like it now,Dorothy Sayers 
Pink,8,216,Mystery ,Maybe I'd like it now,Dorothy Sayers 
Black,8,184,Mystery ,Affection,Simenon
Black,8,172,Mystery ,Affection,Simenon
Black,8,184,Mystery ,Affection,Simenon
Black,8,164,Mystery ,Affection,Simenon
Black,8,188,Mystery ,Affection,Simenon
Black,8,166,Mystery ,Affection,Simenon
Black,8,168,Mystery ,Affection,Simenon
Black,8,186,Mystery ,Affection,Simenon
Black,8,172,Mystery ,Affection,Simenon
Black,8,264,Nonfiction/soccer,Hm,Simenon
Black,8,204,Mystery,Should read,Simenon
Red 3,8,244,Mystery,Forgot about this one,Ross MacDonald
Orange 1,8,310,Mystery,Meh,Winspear
Blue 1,8,298,Mystery,Affection,Simenon 
Black,8.5,286,Polemic,Reminiscence,
Yellow 1,8.25,352,Polemic,Hm,
Red 2,7.25,214,Philosophy ,Reminiscence,
Green 1,7.25,352,Travel/essay,Affection,
Brown 1,8.25,324,Nonfiction/running ,Affection,
Yellow 3,8.5,256,Nonfiction/cycling,Read again,
Silver,8,298,Nonfiction/tennis,Affection,
Blue 2,8,338,Travel/essay,Affection,
Brown 1,9,278,Nonfiction/essay,This book was stupid,
White,8.5,278,Nonfiction/essay,Maybe this has something good to say,
,,,,,
Green 1,7.25,312,Nonfiction/essay,Reminiscence,
Red 3,8,238,Nonfiction/history,Affection,
Brown 2,8,262,Nonfiction/soccer,Hm,
Silver,8.25,866,Nonfiction/essay,Someday ,
Silver,7.5,428,Nonfiction/essay,That was a good one,
Yellow 2,8.5,178,Nonfiction/autobiography ,Someday,
Multi,8.5,320,Design/instructional,Get rid of it?,
Gray,8.5,302,Fiction/contemporary ,Affection,Hrabal
Black,8,88,Fiction/contemporary ,Interesting ,
Black,9.25,296,Fiction/contemporary ,Someday,
Red 2,9.25,278,Fiction/contemporary ,Really should read,
Purple 3,9.5,232,Fiction/contemporary ,Affection,Joyce Johnson
Red 3,9.25,550,Fiction/contemporary ,Should read,
Blue 2,8.25,402,Nonfiction/essay,Formative,
Green 3,9,246,Nonfiction/history,A good one,
Black,9.25,288,Nonfiction/autobiography ,Really good,
Red 2,9.5,910,Literature/reference,Should read more,
Brown 3,8.25,218,Fiction/modern,Should I get rid of it?,Hesse
Red 2,7.75,214,Drama/classic,Hm,
White ,7.75,132,Nonfiction/essay,Read again,Simenon
Blue 2,8.25,286,Mystery/suspense,Hm,
Black,8,208,Nonfiction/essay,So good,
Yellow 1,8.5,210,Nonfiction/essay,Formative,Natalia Ginzburg
Green 1,7.75,752,Fiction/modern,Solid,
Black ,8,406,Fiction/modern,Should I get rid of?,
Black,8.5,346,Fiction/modern,So good,
White,8,438,Fiction/modern,Should re-read,
Black,8,102,Fiction/modern,Formative ,Hrabal
Gray,8,246,Fiction/modern,So good,Hrabal
White,8.5,158,Poetry/classic,Reminiscence,
Gray,7.25,314,Philosophy,Should finish,
Black,8.75,178,Business/theory,Should finish,
,,,,,
Blue 2,7.5,128,Fiction/youth,Childhood favorite,Louis Sachar
Blue 2,7.5,168,Fiction/youth,Childhood favorite,Louis Sachar
Green 2,7.5,184,Fiction/youth,Childhood favorite,Louis Sachar
White,8.5,276,Nonfiction/judo,Should read,
White,8,190,Literary theory,Formative,Foucault
Blue 1,8,352,Nonfiction/history,So good,
Brown 2,8.75,260,Nonfiction/history,Should read,
Brown 2,9,362,Literary reference,Reminiscence,
Multi,9,292,Nonfiction/history,Read again,
Black,9.25,384,Nonfiction/general sports,Solid,
Orange 2,9.5,360,Nonfiction/basketball,Hm,
Yellow 2,9.25,332,Nonfiction/swimming,So good,
Brown 3,8.5,206,Fiction/ghost story,Remniscence,
Black,9.5,238,Nonfiction/autobiography ,Affection ,
Gray,8,430,Nonfiction/essay,Should read,
Multi,7.5,288,Polemic,Cringe-stalgia,
Black,8,286,Fiction/modern classic,Hm,Kafka
White,7.75,190,Nonfiction/autobiography ,I should really read this,
Gray,8.25,280,Mystery,That was a good one,Highsmith
Green 2,8,122,Nonfiction/polemic,Nostalgia,
White,8.25,276,Nonfiction/polemic,Affection,
Gold,8.25,632,Fiction/contemporary ,Reminiscence,
Green 2,8,180,Fiction/contemporary ,Reminiscence,
Green 1,7.75,166,Nonfiction/autobiography ,I should really read this,
Blue 3,9.25,285,Nonfiction/swimming,Affection,
Brown 1,9.5,372,Book about books,Cringe-stalgia,
Purple 2,9.5,520,Literary theory,Formative ,Benjamin
Black,10,1074,Literary theory,Epic,Benjamin
Green ,8.25,460,Comic/novel,Affection,Linda Medley
Red 2,8.25,380,Comic/novel,Affection,Linda Medley
,,,,,
Black ,8.5,92,Nonfiction/essay,Forgot/read again,
Gray,...,232,Fiction/contemporary ,Get rid of?,Dale Peck
Black,...,245,Fiction/modern,Introspection,
Multi,9.25,280,Nonfiction/essay,Affection,
Black,8.5,184,Mystery,Forgot/should read,
Black,8.25,252,Fiction/contemporary ,Should read,
Black,8,202,Fiction/contemporary ,Get rid of?,
Yellow 2,8.25,180,Fiction/contemporary ,Affection,
Gold,8.5,146,Nonfiction/essay,Unexplained hostility ,
Orange ,7.75,198,Fiction/modern classic,Affection,
Black ,8,212,Nonfiction/psychology,Reminiscence,
Red 2,8,326,Fiction/contemporary,Reminiscence,
Blue 3,8,292,Fiction/contemporary ,Read again,
Blue 3,8,342,Fiction/contemporary ,Get rid of?,
Yellow 1,8.25,384,Nonfiction/philosophy,Cringe-stalgia,
Yellow 1,8.25,88,Fiction/modern classic,Get rid of?,Kafka
White,8.5,190,Mystery,Forgot about this,
Blue 2,8.25,368,Nonfiction/sports,Introspection ,Best of Sports Writing series
Gray,8.25,560,Fiction/modern classic ,Where did this come from?,
Brown 3,8,298,Nonfiction/autobiography ,Should read,NYRB
Red 2,8,166,Fiction/19th cent,Get rid of,
Black,8.25,274,Nonfiction/baseball,Affection ,
Blue 1,8.25,394,Fiction/contemporary,Reminiscence,
Black,8.25,306,Nonfiction/essay,Introspection,
Orange 2,8,228,Fiction/contemporary ,Meh,
Brown 1,8.25,714,Nonfiction/essay,Old,
Red 1,8.5,222,Books about books ,Introspective,
Multi,8,198,Nonfiction/essay,Read again?,
Purple 2,6.75,160,Picture/reference,Hm,
Gray,7,62,Nonfiction/essay,Should finish,
,,,,,
White,8,420,Nonfiction/history,Hm,Bryson
White,8,272,Nonfiction/history,Hm,Bryson
Gold,8,530,Nonfiction/history,Hm,Arendt
Brown 1,8,198,Nonfiction/comical history,Affection,
Blue 2,7.75,228,Nonfiction/history ,Hm,
Red 3,8.5,198,Nonfiction/autobiography ,Read tomorrow!,
White,8.25,400,Photography,Reminiscence,
Multi,8,302,Books about books,Hm,Francine Prose
White ,8,336,Nonfiction/history,Get rid of?,
Red 3,8,300,Fiction/modern ,A good one,
Black,8.25,344,Nonfiction/football,A good one,Michael Lewis
,,,,,
Gray,8,248,Design/theory,Should read,
Red 1,8,290,Literary theory,Reminiscence,Foucault
Brown 1,8,160,Literary theory,Get rid of?,
Green 3,8,160,Literary theory,Read again?,
Blue 3,8,134,Fiction/modern classic,Read again,Camus 
Orange 3,8.25,96,Philosophy,Affection,Sartre
Yellow 1,8,282,Literary Theory,Formative,Benjamin
Yellow 1,8,352,Literary theory,Affection,Benjamin 
Orange ,7.75,376,Mystery/adventure,Affection ,Fforde
Orange,7.75,394,Mystery/adventure,Affection,Fforde
Orange,7.75,364,Mystery/adventure,Affection,Fforde
Brown 1,9,370,Nonfiction/health reference,Hm,
White,8,328,Nonfiction/travel essay,Affection,Bryson
Red 3,7.25,120,Philosphy,Hm,
Red 2,8.5,96,Nonfiction/geography,Get rid of?,
Blue 1,9,220,Fiction/contemporary ,Why did I keep this?,
Black,8,110,Philosophy,Should read,Arendt
Red 2,8,346,Nonfiction/history,Reminiscence,
Black,8.25,224,Polemic,Reminiscence,
Gray,8,240,Nonfiction/essay,Reminiscence,Orwell
Yellow 2,8,232,Nonfiction/essay,Affection,Orwell
Red 3,8,366,Nonfiction/autobiography ,Affection,
Orange 3,8.75,258,Nonfiction/psychology,Cringe-stalgia,
Yellow 1,8,420,Nonfiction/history,Should read,
Multi,8,170,Literary theory,Nostalgia,Foucault
Black,8,334,Literary theory,Nostalgia,Foucault
Purple 1,8.25,248,Literary theory,Affection,Foucault
Brown 1,8,312,Fiction/modern,Should read,Camus
White,8.25,364,Literary theory,Read again,
Gray,8,220,Nonfiction/essay,Affection,Orwell
Orange 1,7.75,346,Fiction/modern classic,Cringestagia,Kerouac
Yellow 1,8.25,120,Fiction/modern,Reminiscence,Kerouac
Black,8,416,Poetry,Nostalgia,
Brown 1,8,236,Nonfiction/autobiography ,Read again,Doris Lessing
Yellow 2,9.25,292,Books about books,Relevant,
Yellow 1,7.75,278,Mystery,I should read this,
Yellow 1,7.25,268,Books about books,Someday ...,
Yellow 1,8,232,Nonfiction/autobiography ,Read again,Didion
Brown 1,8,220,Fiction/modern,Formative/stolen from high school library,De beauvior
Yellow 2,8,240,Nonfiction/essay,Meh,Didion
Black,8,320,Nonfiction/essay,Meh,Didion
Blue 2,8,238,Nonfiction/essay,Formative,Didion
Purple 1,8,224,Nonfiction/essay,Formative,Didion
Blue 2,7.75,214,Fiction/modern classic,Read again? Relevant?,Didion
