Spine color,Height,Pages,Genre/sub,Feeling,Author (multiple only)
Blue 3,8.5,384,Mystery,So good,Fforde
White,8.75,248,Mystery,Hm,
Blue 3,8,678,Nonfiction/history,Hm,
Multi,8,194,Mystery,Someday,
White,8,466,Nonfiction/history ,Affection,
Multi,8,324,Literary theory,Get rid of,
Red,8.25,356,Mystery,Read again,
Purple 1,8.25,108,Mystery,Hm,Dover thrift
Purple 3,9,444,Literary theory,Nostslgia,
Blue 2,8.25,212,Nonfiction/essays,Meh,Sontag
White,8.5,192,Nonfiction/essays ,I made that!,
Orange 3,7.75,376,Fiction/contemporary ,Affection,Paul Auster
Orange 3,7.75,276,Fiction/contemporary ,Affection,Paul Auster
Orange 3,7.75,308,Fiction/contemporary ,Affection,Paul Auster
White,8.25,248,Fiction/modern,Affection,Carson McCullers
Orange 2,8.5,212,Nonfiction/essays,Reminiscence,
Red 3,9,426,Nonfiction/history,Nostalgia,
Black,8.5,434,Nonfiction/autobiography ,Hm,Nin
Green 1,8,568,Fiction/postmodern,Get rid of,
Green 1,7.75,224,Fiction/modern classic,Should read soon,Greene
Green 1,7.75,192,Fiction/modern classic,Nostalgia,Greene
Purple 3,8.25,128,Fiction/19th cent,Hm,
Yellow 1,8.25,646,Fiction/contemporary ,Best of the best,
Multi,8.5,390,Sports/general ,Hm,
Multi,8,424,Nonfiction/history,Someday,
Gray,8.5,112,Fiction/modern ,Reminiscence,Nin
Gray,8,136,Fiction/postmodern,Nostalgia ,
Orange 2,8.25,224,Fiction/contemporary ,Affection,Penelope Fitzgerald 
Red 3,8.25,124,Fiction/contemporary ,Nostalgia/relevant?,
White,8.25,360,Fiction/modern classic,Read again,McCullers
Black,8,372,Nonfiction/autobiography ,Reminiscence,Nin
Red 3,8.25,228,Nonfiction/autobiography ,Reminiscence,
Gold,8.25,354,Fiction/modern,Get rid of,Henry Miller
Black,8.25,318,Fiction/modern,Reminiscence ,Henry Miller
Green 1,8,412,Fiction/modern,A good one,NYRB
Multi,7.75,278,Fiction/modern,Read again,
Multi,9.5,418,Nonfiction/autobiography ,Cringestalgia,Nin
Multi,9.5,674,Nonfiction/autobiography ,Why do i have this?,
White ,9.5,"1,082",Nonfiction/history,Get rid of,
White,9.5,490,Nonfiction/history,Affection,
Red. 3,9.25,278,Nonfiction/history,Reminiscence,
Black,9.5,384,Nonfictin/history,I was such a weird kid,
Multi,9.5,408,Nonfiction/history,So weird,
Orange 3,8,464,Fiction/contemporary ,A good one,Angela Carter 
 Blue 2,8.25,248,Nonfiction/autobiography ,Reminiscence,
Blue 2,8,306,Poetry,Formative,Langston Hughes
White ,8.25,184,Fiction/modern,Affection,Langston Hughes
White ,8.5,342,Nonfiction/autobiography ,So good,Langston Hughes
Blue 3,8.25,348,Sports/general,Get rid of?,
Red 3,8.25,310,Sports/general,Get rid of?,
White,8.25,266,Sports/general,Get rid of?,
Multi,8.25,374,Sports/general,Get rid of?,
Multi,8.25,358,Sports/general,Get rid of?,
Orange 2,8.25,250,Sports/general,Get rid of?,
Black,9.25,816,Fortune-telling,Affection,
Black,9.25,470,Fiction/modern,Would this make sense now?,
White,9.5,354,Nonfiction/history,Reminiscence,
Red 2,9.5,940,Fiction/classic,Really should read,
Multi,9.25,472,Fiction/classic,Finish soon,
Multi,8.5,248,Nonfiction/humor,Cringestalgia,
White,8.5,48,Nonfiction/history,Reminiscence,
Multi,9.25,312,Fiction/children's ,Affection,JK Rowling
Multi,9.25,342,Fiction/children's ,Affection,JK Rowling
Multi,9.25,436,Fiction/children's ,Affection,JK Rowling
Multi,9.25,736,Fiction/children's ,Affection,JK Rowling
Multi,9.25,878,Fiction/children's ,Affection,JK Rowling
Multi,9.25,660,Fiction/children's ,Affection,JK Rowling
Multi,9.25,770,Fiction/children's ,Affection,JK Rowling
Multi,6.5,288,Nonfiction/biology,Affection,
Yellow 2,7.5,160,Fiction/children's ,Nostalgia,
Blue 1,9.75,208,Picture/illustration,Brand new!,
Multi,7,152,Literary theory,Hm,
Multi,7.75,332,Fiction/contemporary,Brand new!,
Blue 3,9.25,75,Comic/history,Read soon,
Multi,11.25,128,Nonfiction/information theory,Reminiscence,Tufte
Multi,11.25,214,Nonfiction/information theory,Reminiscence,Tufte
Multi,11.25,200,Nonfiction/information theory,Reminiscence,Tufte
Multi,11.25,158,Nonfiction/information theory,Reminiscence,Tufte
White,9.5,892,History/LA,Formative,
Red 1,11,158,Books about books,Reminiscence,
White,11.75,272,Picture/illustration,Nostalgia,
White,12,312,Picture/biology,So good,
White,11.75,320,Picture/art history,Nostalgia,
Blue 2,4,62,Picture/biology,Reminiscence ,
Multi,8,326,Mystery,So good,Kathryn Miller Haines
Multi,8,324,Mystery,So good,Kathryn Miller Haines
Multi,8,338,Mystery,So good,Kathryn Miller Haines
Multi,8,326,Mystery,So good,Kathryn Miller Haines
Green 2,9.5,128,Picture/biology,Affection,
Green 1,9,336,Reference/design,Hm,
White,9,446,Reference/programming,Hm,
Yellow 1,7.75,182,Mystery,Hm,
Green 2,9,448,Nonfiction/biology,Must finish,
White ,9.25,358,Reference/programming ,Excitement,
White,11,208,Reference/design,Affection,
Multi,7.25,144,Picture/biology,Excitement,
Orange 2,8,310,Nonfiction/history,So good,
Multi,8.5,324,Nonfiction/biography ,Forgot about this one,
Black,9.25,218,Nonfiction/autobiography ,Relevant,
Black,9.5,228,Polemic,Should read,
Yellow 3,8.25,98,Instructional/art,Affection,
White,9.25,224,Instructional/design,Read more,
