Spine color,Height,Pages,Genre/sub,Feeling,Author (multiple only)
Green 1,8.25,298,Nonfiction/essays,Introspective,
White,8.25,380,Nonfiction/essays,Affectionate ,
Green 2,8.25,342,Nonfiction/essays,Affectionate,
Blue 1,8.25,208,Fiction/modern,Ambivalent,
White,8.25,414,Nonfiction/polemic,Minimalist,
White,9.25,88,Literary theory,Ambivalent,
White,9,320,Literary theory,Affectionate,
Black,9,160,Literary theory,Minimalist,Derrida
White ,9,160,Literary theory,Wistful,
Blue 3,8.5,384,Mystery,Affectionate,Fforde
White,8.75,248,Mystery,Ambivalent,
Blue 3,8,678,Nonfiction/history,Ambivalent,
Multi,8,194,Mystery,Wistful,
White,8,466,Nonfiction/history ,Affectionate,
Multi,8,324,Literary theory,Minimalist,
Red,8.25,356,Mystery,Excited,
Purple 1,8.25,108,Mystery,Ambivalent,Dover thrift
Purple 3,9,444,Literary theory,Nostslgia,
Blue 2,8.25,212,Nonfiction/essays,Ambivalent,Sontag
White,8.5,192,Nonfiction/essays ,Proud,
Orange 3,7.75,376,Fiction/contemporary ,Affectionate,Paul Auster
Orange 3,7.75,276,Fiction/contemporary ,Affectionate,Paul Auster
Orange 3,7.75,308,Fiction/contemporary ,Affectionate,Paul Auster
White,8.25,248,Fiction/modern,Affectionate,Carson McCullers
Orange 2,8.5,212,Nonfiction/essays,Wistful,
Red 3,9,426,Nonfiction/history,Nostalgic,
Black,8.5,434,Nonfiction/autobiography ,Ambivalent,Nin
Green 1,8,568,Fiction/postmodern,Minimalist,
Green 1,7.75,224,Fiction/modern classic,Guilty soon,Greene
Green 1,7.75,192,Fiction/modern classic,Nostalgic,Greene
Purple 3,8.25,128,Fiction/19th cent,Ambivalent,
Yellow 1,8.25,646,Fiction/contemporary ,Best of the best,
Multi,8.5,390,Sports/general ,Ambivalent,
Multi,8,424,Nonfiction/history,Wistful,
Gray,8.5,112,Fiction/modern ,Wistful,Nin
Gray,8,136,Fiction/postmodern,Nostalgic ,
Orange 2,8.25,224,Fiction/contemporary ,Affectionate,Penelope Fitzgerald 
Red 3,8.25,124,Fiction/contemporary ,Nostalgic/relevant?,
White,8.25,360,Fiction/modern classic,Excited,McCullers
Black,8,372,Nonfiction/autobiography ,Wistful,Nin
Red 3,8.25,228,Nonfiction/autobiography ,Wistful,
Gold,8.25,354,Fiction/modern,Minimalist,Henry Miller
Black,8.25,318,Fiction/modern,Wistful ,Henry Miller
Green 1,8,412,Fiction/modern,Affectionate,NYRB
Multi,7.75,278,Fiction/modern,Excited,
Multi,9.5,418,Nonfiction/autobiography ,Cringestalgia,Nin
Multi,9.5,674,Nonfiction/autobiography ,Why do i have this?,
White ,9.5,"1,082",Nonfiction/history,Minimalist,
White,9.5,490,Nonfiction/history,Affectionate,
Red. 3,9.25,278,Nonfiction/history,Wistful,
Black,9.5,384,Nonfictin/history,I was such a weird kid,
Multi,9.5,408,Nonfiction/history,So weird,
Orange 3,8,464,Fiction/contemporary ,Affectionate,Angela Carter 
 Blue 2,8.25,248,Nonfiction/autobiography ,Wistful,
Blue 2,8,306,Poetry,Introspective,Langston Hughes
White ,8.25,184,Fiction/modern,Affectionateate,Langston Hughes
White ,8.5,342,Nonfiction/autobiography ,Affectionate,Langston Hughes
Blue 3,8.25,348,Sports/general,Ambivalent,
Red 3,8.25,310,Sports/general,Ambivalent,
White,8.25,266,Sports/general,Ambivalent,
Multi,8.25,374,Sports/general,Ambivalent,
Multi,8.25,358,Sports/general,Ambivalent,
Orange 2,8.25,250,Sports/general,Ambivalent,
Black,9.25,816,Fortune-telling,Affectionate,
Black,9.25,470,Fiction/modern,Introspective,
White,9.5,354,Nonfiction/history,Wistful,
Red 2,9.5,940,Fiction/classic,Guilty,
Multi,9.25,472,Fiction/classic,Guilty,
Multi,8.5,248,Nonfiction/humor,Cringestalgia,
White,8.5,48,Nonfiction/history,Wistful,
Multi,9.25,312,Fiction/children's ,Affectionate,JK Rowling
Multi,9.25,342,Fiction/children's ,Affectionate,JK Rowling
Multi,9.25,436,Fiction/children's ,Affectionate,JK Rowling
Multi,9.25,736,Fiction/children's ,Affectionate,JK Rowling
Multi,9.25,878,Fiction/children's ,Affectionate,JK Rowling
Multi,9.25,660,Fiction/children's ,Affectionate,JK Rowling
Multi,9.25,770,Fiction/children's ,Affectionate,JK Rowling
Multi,6.5,288,Nonfiction/biology,Affectionate,
Yellow 2,7.5,160,Fiction/children's ,Nostalgic,
Blue 1,9.75,208,Picture/illustration,Excited,
Multi,7,152,Literary theory,Ambivalent,
Multi,7.75,332,Fiction/contemporary,Excited,
Blue 3,9.25,75,Comic/history,Excited,
Multi,11.25,128,Nonfiction/information theory,Wistful,Tufte
Multi,11.25,214,Nonfiction/information theory,Wistful,Tufte
Multi,11.25,200,Nonfiction/information theory,Wistful,Tufte
Multi,11.25,158,Nonfiction/information theory,Wistful,Tufte
White,9.5,892,History/LA,Introspective,
Red 1,11,158,Books about books,Wistful,
White,11.75,272,Picture/illustration,Nostalgic,
White,12,312,Picture/biology,Affectionate,
White,11.75,320,Picture/art history,Nostalgic,
Blue 2,4,62,Picture/biology,Wistful ,
Multi,8,326,Mystery,Affectionate,Kathryn Miller Haines
Multi,8,324,Mystery,Affectionate,Kathryn Miller Haines
Multi,8,338,Mystery,Affectionate,Kathryn Miller Haines
Multi,8,326,Mystery,Affectionate,Kathryn Miller Haines
Green 2,9.5,128,Picture/biology,Affectionate,
Green 1,9,336,Reference/design,Ambivalent,
White,9,446,Reference/programming,Ambivalent,
Yellow 1,7.75,182,Mystery,Ambivalent,
Green 2,9,448,Nonfiction/biology,Guilty,
White ,9.25,358,Reference/programming ,Excitement,
White,11,208,Reference/design,Affectionate,
Multi,7.25,144,Picture/biology,Excitement,
Orange 2,8,310,Nonfiction/history,Affectionate,
Multi,8.5,324,Nonfiction/biography ,Affectionate,
Black,9.25,218,Nonfiction/autobiography ,Introspective,
Black,9.5,228,Polemic,Guilty,
Yellow 3,8.25,98,Instructional/art,Affectionate,
White,9.25,224,Instructional/design,Guilty,
